	10283.LS.12.28.2011	10283.LS.5.31.2015	10283.LS.2.8.2015	10283.LS.1.19.2014	10283.LS.1.14.2015	10283.LS.3.24.2013	10283.LS.11.6.2012	10283.LS.12.14.2013	10283.LS.1.6.2015	10283.LS.2.23.2015	10283.LS.11.16.2014	10283.LS.6.14.2015	10283.LS.8.22.2014	10283.LS.3.23.2014	10283.LS.2.25.2013	10283.LS.5.3.2015	10283.LS.8.25.2014	10283.LS.11.10.2013	10283.LS.9.3.2013	10283.LS.4.19.2015	10283.LS.1.25.2015	10283.LS.9.28.2014	10283.LS.4.4.2015	10283.LS.12.7.2014	10283.LS.4.29.2013	10283.LS.2.8.2013	10283.LS.5.4.2014	10283.LS.7.27.2014	10283.LS.3.24.2015	10283.LS.1.26.2013	10283.LS.9.24.2013	10283.LS.7.14.2013	10283.LS.2.17.2014	10283.LS.3.8.2015	10283.LS.6.16.2014	10283.LS.4.7.2013	10283.LS.12.17.2014	10283.LS.4.3.2012	10283.LS.8.7.2012
10283.LS.12.28.2011	0.0	0.462900469712	0.475472715484	0.47566202656	0.475964962144	0.480817801238	0.413024148197	0.46531549755	0.463252004663	0.476135684125	0.469559142594	0.446194586927	0.455291975765	0.473233358646	0.433184228919	0.473991563347	0.446408066965	0.502774565688	0.488734839781	0.44555405603	0.456986031691	0.484237944605	0.476309533533	0.473999401067	0.453303694218	0.435182711137	0.44786180286	0.455219973908	0.444587034546	0.452494931436	0.511342903794	0.487715224606	0.479183466413	0.458004050783	0.489747898312	0.470833213111	0.514806562247	0.432889304807	0.449607803392
10283.LS.5.31.2015	0.462900469712	0.0	0.347735077831	0.407340323828	0.390441924369	0.414982110081	0.406628224637	0.369770087195	0.356973559182	0.358103231864	0.352118490545	0.342453861187	0.3864832324	0.384397764235	0.402573878409	0.364850902226	0.37701949371	0.42884334796	0.404580912315	0.357047025069	0.346893414275	0.381098587708	0.337494565888	0.369774046839	0.401116311564	0.392515198517	0.371056622526	0.348445283744	0.342925362333	0.431540304855	0.438551319813	0.428137746064	0.390000017483	0.346774041873	0.374874236277	0.393205813187	0.388480584332	0.471404309308	0.458571201789
10283.LS.2.8.2015	0.475472715484	0.347735077831	0.0	0.405775906164	0.351460541278	0.408848656499	0.425571631326	0.352181295541	0.372456265746	0.31779830402	0.355098828025	0.357468226351	0.366447969974	0.358220724936	0.413293683468	0.36120810172	0.373601587982	0.4063752523	0.408383570773	0.346428378814	0.326507093732	0.364386815676	0.334381794528	0.345676015628	0.411536368981	0.421271104602	0.366691739752	0.349599059	0.372239545268	0.404953246087	0.427077428195	0.407910274356	0.380641170378	0.354107062212	0.361640794646	0.403534246288	0.377646321047	0.492116696847	0.440180270186
10283.LS.1.19.2014	0.47566202656	0.407340323828	0.405775906164	0.0	0.413509797223	0.414219671056	0.420894512143	0.364543254108	0.404547313753	0.416707466575	0.407851413495	0.411006799509	0.391409361285	0.404994684754	0.385257163872	0.404361800221	0.38471878288	0.405559659837	0.404491339098	0.381429865537	0.40219118083	0.403747506592	0.39591581839	0.424559144934	0.412158881395	0.398334489149	0.387326620315	0.397627337161	0.393903834026	0.426222853856	0.393051465113	0.406506345568	0.380944657469	0.408074131594	0.412022807804	0.418330827452	0.418529822457	0.481987637628	0.463604938201
10283.LS.1.14.2015	0.475964962144	0.390441924369	0.351460541278	0.413509797223	0.0	0.42615118775	0.43727516616	0.38148668875	0.351526297612	0.368480218751	0.375313083393	0.390497078193	0.389578796182	0.371477572712	0.413301210503	0.386067575194	0.361074881352	0.427696723811	0.43157509616	0.353116535012	0.333918136641	0.384197731252	0.41205244952	0.355350861412	0.394651574546	0.414867230617	0.368056122049	0.373617802917	0.380647658111	0.435503153281	0.43913192892	0.437808872257	0.394138733051	0.362096841577	0.38465787541	0.421107716116	0.390538612168	0.515038883072	0.456960254125
10283.LS.3.24.2013	0.480817801238	0.414982110081	0.408848656499	0.414219671056	0.42615118775	0.0	0.39044822621	0.378963802379	0.406972118098	0.429026545408	0.401168897806	0.417163389854	0.407245784277	0.405165617056	0.35748722303	0.406556240571	0.42005668548	0.40861257542	0.40904641028	0.42693467207	0.408960136283	0.390618747022	0.410926810623	0.41065229356	0.341970805056	0.36000954545	0.412002849578	0.403939642667	0.423937637917	0.380575250699	0.407428525774	0.38386869721	0.410866763064	0.393415181419	0.432940628078	0.312792995793	0.390543581265	0.45725711349	0.416225046424
10283.LS.11.6.2012	0.413024148197	0.406628224637	0.425571631326	0.420894512143	0.43727516616	0.39044822621	0.0	0.399938001233	0.422629581545	0.402762728176	0.437091367863	0.403914987679	0.411371766636	0.407609334949	0.374287215155	0.402106357771	0.391349403669	0.426595258719	0.404267854005	0.416101011051	0.42084763899	0.415659344373	0.387906212915	0.381400373189	0.366858479503	0.363393511824	0.394316701582	0.409320641032	0.40388389104	0.348402085268	0.443186255298	0.407374132014	0.449140367867	0.403473715135	0.443410496178	0.378024183017	0.443267979696	0.382125458351	0.334075972638
10283.LS.12.14.2013	0.46531549755	0.369770087195	0.352181295541	0.364543254108	0.38148668875	0.378963802379	0.399938001233	0.0	0.377966773923	0.380103108678	0.380055004165	0.39279409921	0.377232078912	0.346786788578	0.380750390416	0.395720410652	0.339903852886	0.379833157132	0.361679076639	0.362705712682	0.347546686854	0.352297962864	0.374763427282	0.361045934731	0.378725766513	0.352292452212	0.356801169215	0.337272461416	0.372555318628	0.376216086275	0.366672147169	0.383678915841	0.362479829321	0.385196236811	0.37808981897	0.389474795694	0.386327846739	0.47641380749	0.441509806767
10283.LS.1.6.2015	0.463252004663	0.356973559182	0.372456265746	0.404547313753	0.351526297612	0.406972118098	0.422629581545	0.377966773923	0.0	0.375924032268	0.375042578879	0.363459524788	0.378266509489	0.379979461104	0.393787342321	0.369232103687	0.369885740051	0.414713912703	0.387060253569	0.340978754303	0.349229450264	0.377856427017	0.380856023195	0.358418758561	0.388559388722	0.410285677258	0.342506131563	0.334379363708	0.361812486551	0.431598208567	0.432410512554	0.404933463599	0.377295386177	0.359017112879	0.390504894888	0.387952843319	0.369887850178	0.468321301658	0.452181383982
10283.LS.2.23.2015	0.476135684125	0.358103231864	0.31779830402	0.416707466575	0.368480218751	0.429026545408	0.402762728176	0.380103108678	0.375924032268	0.0	0.378805102097	0.361793026339	0.359689656602	0.352429633694	0.405642775436	0.344959460134	0.366820556106	0.414002668637	0.402569512634	0.343142453471	0.352525034173	0.372337269455	0.321197086142	0.352570304824	0.398680387079	0.421884798973	0.384497141197	0.34268253459	0.372048324111	0.384625708828	0.44099236915	0.408269642236	0.413398902571	0.330473609085	0.369059030155	0.430174685845	0.394338386504	0.474561827175	0.418079233602
