#OTU ID		10283.LS.12.28.2011	10283.LS.4.3.2012	10283.LS.8.7.2012	10283.LS.11.6.2012	10283.LS.1.26.2013	10283.LS.2.8.2013	10283.LS.2.25.2013	10283.LS.3.24.2013	10283.LS.4.7.2013	10283.LS.4.29.2013	10283.LS.7.14.2013	10283.LS.9.3.2013	10283.LS.9.24.2013	10283.LS.11.10.2013	10283.LS.12.14.2013	10283.LS.1.19.2014	10283.LS.2.17.2014	10283.LS.3.23.2014	10283.LS.5.4.2014	10283.LS.6.16.2014	10283.LS.7.27.2014	10283.LS.8.22.2014	10283.LS.8.25.2014	10283.LS.9.28.2014	10283.LS.11.16.2014	10283.LS.12.7.2014	10283.LS.12.17.2014	10283.LS.1.6.2015	10283.LS.1.14.2015	10283.LS.1.25.2015	10283.LS.2.8.2015	10283.LS.2.23.2015	10283.LS.3.8.2015	10283.LS.3.24.2015	10283.LS.4.4.2015	10283.LS.4.19.2015	10283.LS.5.3.2015	10283.LS.5.31.2015	10283.LS.6.14.2015
k__Archaea	p__Euryarchaeota	0.119866667	0.0766	0.0098	0.044533333	0.0022	0.002066667	0.0024	0.0012	0.001066667	0.001533333	0.000466667	0.003066667	0.003466667	0.001133333	0.002533333	0.003333333	0.002333333	0.0014	0.005933333	0.001266667	0.002333333	0.002866667	0.005666667	0.001266667	0.0016	0.002533333	0.000933333	0.002266667	0.0032	0.0034	0.002	0.002666667	0.005933333	0.0064	0.004066667	0.002666667	0.002066667	0.0018	0.005333333
k__Bacteria	p__Actinobacteria	0.017466667	0.014	0.021	0.0092	0.003133333	0.0032	0.006	0.002333333	0.001733333	0.004466667	0.005733333	0.008866667	0.014466667	0.0054	0.015466667	0.006266667	0.0038	0.001866667	0.004666667	0.0014	0.0024	0.009266667	0.015933333	0.002533333	0.0032	0.006266667	0.0018	0.002666667	0.0038	0.003466667	0.003333333	0.004533333	0.008933333	0.0046	0.0082	0.003133333	0.01	0.002266667	0.012066667
k__Bacteria	p__Bacteroidetes	0.097133333	0.048933333	0.1652	0.165933333	0.4502	0.407533333	0.356466667	0.336733333	0.393733333	0.322333333	0.3682	0.229066667	0.217933333	0.361866667	0.4014	0.419733333	0.453333333	0.371333333	0.360866667	0.4516	0.370533333	0.190133333	0.352533333	0.3264	0.3224	0.258733333	0.410333333	0.447866667	0.314333333	0.2452	0.261266667	0.1962	0.2892	0.258666667	0.145866667	0.231133333	0.189133333	0.237266667	0.243866667
k__Bacteria	p__Chlorobi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Cyanobacteria	0.000133333	0.0004	0.0002	0.000333333	0.0012	0.000466667	0	0.000933333	0.000866667	6.67E-05	6.67E-05	6.67E-05	6.67E-05	0.0006	0	0	0	6.67E-05	6.67E-05	0.004266667	0.008533333	0.002866667	0.000266667	0.0072	0.001933333	0.0068	0.0042	0.000466667	0.0026	0.002533333	0.000866667	0.001533333	0.000266667	0.000866667	0.001066667	0.000866667	0.001066667	0.000333333	0.001466667
k__Bacteria	p__Firmicutes	0.5828	0.844933333	0.757533333	0.7014	0.4728	0.540066667	0.538466667	0.461066667	0.460733333	0.5356	0.6062	0.709466667	0.7366	0.593733333	0.522733333	0.3834	0.4406	0.5292	0.5494	0.4556	0.4964	0.7506	0.523	0.616466667	0.639733333	0.644466667	0.4392	0.39	0.519066667	0.4988	0.626666667	0.692266667	0.5524	0.578333333	0.777266667	0.477066667	0.6962	0.588666667	0.614466667
k__Bacteria	p__Fusobacteria	0.010266667	0.0008	6.67E-05	6.67E-05	6.67E-05	0.0034	0.011466667	0.0008	0.013933333	0.000866667	0.0004	0.000333333	0.000266667	0.0002	0.000333333	0.0038	0.008733333	0.000133333	0.002866667	0.0002	0.001466667	6.67E-05	0.000533333	0.000133333	0.0026	0.0002	0.000933333	0.003133333	0.000333333	0.000866667	0.000266667	0	0	0.003	0	0.012666667	0.0012	0.0004	0.0028
k__Bacteria	p__Lentisphaerae	0	0	0	0	6.67E-05	6.67E-05	0	0	0	0	6.67E-05	0.000133333	0.000133333	0.000133333	0.000333333	0.000666667	0.0002	0.000266667	0	6.67E-05	0	0.000133333	6.67E-05	6.67E-05	0	6.67E-05	6.67E-05	0	0	6.67E-05	0	0	0	6.67E-05	0.000133333	6.67E-05	6.67E-05	0	6.67E-05
k__Bacteria	p__Proteobacteria	0.0152	0.001866667	0.008733333	0.009	0.042866667	0.017866667	0.027466667	0.189666667	0.121866667	0.1304	0.014333333	0.048	0.025533333	0.034	0.049466667	0.0538	0.0392	0.050933333	0.030866667	0.0304	0.033466667	0.033266667	0.011733333	0.041866667	0.025333333	0.0668	0.134066667	0.056133333	0.047066667	0.028466667	0.0584	0.096866667	0.108666667	0.0274	0.0536	0.088666667	0.0706	0.096133333	0.036533333
k__Bacteria	p__Synergistetes	0.0002	0	6.67E-05	0.000133333	6.67E-05	0.000133333	0.0002	0	0	0	0	0	0	0	6.67E-05	0	0.000466667	0.000266667	0.000333333	6.67E-05	0.000266667	0	0.0002	0	0	0.0002	0	0	0.000266667	0.000133333	6.67E-05	6.67E-05	0.0002	0.000466667	0	0.000466667	6.67E-05	0	0.000133333
