#OTU ID			10283.LS.12.28.2011	10283.LS.4.3.2012	10283.LS.8.7.2012	10283.LS.11.6.2012	10283.LS.1.26.2013	10283.LS.2.8.2013	10283.LS.2.25.2013	10283.LS.3.24.2013	10283.LS.4.7.2013	10283.LS.4.29.2013	10283.LS.7.14.2013	10283.LS.9.3.2013	10283.LS.9.24.2013	10283.LS.11.10.2013	10283.LS.12.14.2013	10283.LS.1.19.2014	10283.LS.2.17.2014	10283.LS.3.23.2014	10283.LS.5.4.2014	10283.LS.6.16.2014	10283.LS.7.27.2014	10283.LS.8.22.2014	10283.LS.8.25.2014	10283.LS.9.28.2014	10283.LS.11.16.2014	10283.LS.12.7.2014	10283.LS.12.17.2014	10283.LS.1.6.2015	10283.LS.1.14.2015	10283.LS.1.25.2015	10283.LS.2.8.2015	10283.LS.2.23.2015	10283.LS.3.8.2015	10283.LS.3.24.2015	10283.LS.4.4.2015	10283.LS.4.19.2015	10283.LS.5.3.2015	10283.LS.5.31.2015	10283.LS.6.14.2015
k__Archaea	p__Euryarchaeota	c__Methanobacteria	0.119866667	0.0766	0.0098	0.044533333	0.0022	0.002066667	0.0024	0.0012	0.001066667	0.001533333	0.000466667	0.003066667	0.003466667	0.001133333	0.002533333	0.003333333	0.002333333	0.0014	0.005933333	0.001266667	0.002333333	0.002866667	0.005666667	0.001266667	0.0016	0.002533333	0.000933333	0.002266667	0.0032	0.0034	0.002	0.002666667	0.005933333	0.0064	0.004066667	0.002666667	0.002066667	0.0018	0.005333333
k__Bacteria	p__Actinobacteria	c__Actinobacteria	0.0036	0.002133333	0.0024	0.0014	0.000666667	0.001	0.001533333	0.001533333	0.000533333	0.001666667	0.002133333	0.006066667	0.0092	0.004	0.013533333	0.002066667	0.0002	0.0002	0.0012	0.000133333	0.000333333	0.000933333	0.001333333	0.000266667	0.0006	0.0002	0.000533333	0.0008	0.001466667	0.0004	0.0006	0.000133333	0.002666667	0.0006	0.000466667	0.000866667	0.000333333	0.000333333	0.004466667
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	0.013866667	0.011866667	0.0186	0.0078	0.002466667	0.0022	0.004466667	0.0008	0.0012	0.0028	0.0036	0.0028	0.005266667	0.0014	0.001933333	0.0042	0.0036	0.001666667	0.003466667	0.001266667	0.002066667	0.008333333	0.0146	0.002266667	0.0026	0.006066667	0.001266667	0.001866667	0.002333333	0.003066667	0.002733333	0.0044	0.006266667	0.004	0.007733333	0.002266667	0.009666667	0.001933333	0.0076
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	0.097133333	0.048933333	0.1652	0.165933333	0.450133333	0.407533333	0.356466667	0.336733333	0.393733333	0.322333333	0.3682	0.229066667	0.217933333	0.361866667	0.4014	0.419733333	0.453266667	0.371333333	0.360866667	0.4516	0.370533333	0.190133333	0.352133333	0.3264	0.3224	0.258733333	0.410333333	0.447866667	0.314333333	0.2452	0.261266667	0.1962	0.2892	0.2586	0.145866667	0.231133333	0.189133333	0.237266667	0.243866667
k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0.0004	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0
k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Chlorobi	c__Ignavibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Cyanobacteria	c__4C0d-2	6.67E-05	0	0.0002	0.000266667	0.0012	0.000466667	0	0.000933333	0.000733333	6.67E-05	6.67E-05	0	6.67E-05	6.67E-05	0	0	0	6.67E-05	0	0.004266667	0.008533333	0.002866667	0.000266667	0.0072	0.001933333	0.006733333	0.0038	0.0004	0.0026	0.002466667	0.000866667	0.001533333	0.000133333	0.0008	0.001	0.000866667	0.001066667	0.0002	0.0002
k__Bacteria	p__Cyanobacteria	c__Chloroplast	6.67E-05	0.0004	0	6.67E-05	0	0	0	0	0.000133333	0	0	6.67E-05	0	0.000533333	0	0	0	0	6.67E-05	0	0	0	0	0	0	6.67E-05	0.0004	6.67E-05	0	6.67E-05	0	0	0.000133333	6.67E-05	6.67E-05	0	0	0.000133333	0.001266667
k__Bacteria	p__Firmicutes	c__Bacilli	0.009	0.014666667	0.0052	0.0056	0.001933333	0.002733333	0.003266667	0.000866667	0.0028	0.002	0.001	0.000533333	0.001733333	0.003933333	0.000133333	0.001133333	0.0006	0.000333333	0.001533333	0.000266667	0.001133333	0.0012	0.000866667	0.001133333	0.001266667	0.000266667	0.005666667	0.001866667	0.000866667	0.000266667	0.002333333	0.000466667	0.001133333	0.0008	0.0006	0.001	0.0008	0.000533333	0.002933333
k__Bacteria	p__Firmicutes	c__Clostridia	0.556466667	0.7982	0.724466667	0.686066667	0.453133333	0.523866667	0.527533333	0.459	0.4534	0.526266667	0.592733333	0.694266667	0.7084	0.578333333	0.5104	0.366333333	0.424866667	0.509866667	0.525733333	0.448333333	0.485933333	0.735266667	0.510866667	0.6064	0.629066667	0.618	0.430666667	0.381133333	0.51	0.491133333	0.620066667	0.677133333	0.5266	0.5648	0.754666667	0.469133333	0.673666667	0.581866667	0.590066667
k__Bacteria	p__Firmicutes	c__Erysipelotrichi	0.017333333	0.032066667	0.027866667	0.009733333	0.017733333	0.013466667	0.007666667	0.0012	0.004533333	0.007333333	0.012466667	0.014666667	0.026466667	0.011466667	0.0122	0.015933333	0.015133333	0.019	0.022133333	0.007	0.009333333	0.014133333	0.011266667	0.008933333	0.0094	0.0262	0.002866667	0.007	0.0082	0.0074	0.004266667	0.014666667	0.024666667	0.012733333	0.022	0.006933333	0.021733333	0.006266667	0.021466667
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	0.010266667	0.0008	6.67E-05	6.67E-05	6.67E-05	0.0034	0.011466667	0.0008	0.013933333	0.000866667	0.0004	0.000333333	0.000266667	0.0002	0.000333333	0.0038	0.008733333	0.000133333	0.002866667	0.0002	0.001466667	6.67E-05	0.000533333	0.000133333	0.0026	0.0002	0.000933333	0.003133333	0.000333333	0.000866667	0.000266667	0	0	0.003	0	0.012666667	0.0012	0.0004	0.0028
k__Bacteria	p__Lentisphaerae	c__[Lentisphaeria]	0	0	0	0	6.67E-05	6.67E-05	0	0	0	0	6.67E-05	0.000133333	0.000133333	0.000133333	0.000333333	0.000666667	0.0002	0.000266667	0	6.67E-05	0	0.000133333	6.67E-05	6.67E-05	0	6.67E-05	6.67E-05	0	0	6.67E-05	0	0	0	6.67E-05	0.000133333	6.67E-05	6.67E-05	0	6.67E-05
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	0.002266667	0	6.67E-05	0.000266667	0.005266667	0.001133333	0.001466667	0.001733333	0.0044	0.000333333	0.003466667	0.035733333	0.0076	0.0254	0.033133333	0.028866667	0.0208	0.0378	0.0036	0.011866667	0.008933333	0.017066667	0.0028	0.011533333	0.000866667	0.015333333	0.0112	0.0054	0.002733333	0.003133333	0.0034	0.0048	0.001133333	0.002266667	0.005133333	0.004666667	0.016466667	0.001466667	0.001533333
k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	0.0034	0.0002	0.001466667	0.0028	0.0036	0.006	0.005466667	0.0062	0.012066667	0.006666667	0.004	0.005133333	0.008933333	0.004266667	0.004866667	0.0118	0.005933333	0.006933333	0.010533333	0.012866667	0.0054	0.006933333	0.005933333	0.006	0.006266667	0.010066667	0.019	0.004066667	0.0104	0.003866667	0.0058	0.009333333	0.0108	0.004733333	0.0054	0.002733333	0.006066667	0.010466667	0.0058
k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	0.007133333	0.000933333	0.007066667	0.005333333	0.005133333	0.009	0.0164	0.003733333	0.006066667	0.0064	0.006533333	0.006266667	0.006933333	0.0032	0.010866667	0.011533333	0.0112	0.0058	0.0152	0.004866667	0.0116	0.0088	0.002733333	0.004933333	0.0068	0.010733333	0.008666667	0.008333333	0.011333333	0.0086	0.012333333	0.007666667	0.01	0.0116	0.009666667	0.009533333	0.012	0.007466667	0.015133333
k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	0	0	0	0	0	0.0002	0.0002	6.67E-05	0	0	0	0	6.67E-05	0	0	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	0.0024	0.000733333	0.000133333	0.0006	0.028866667	0.001533333	0.003933333	0.177933333	0.099333333	0.117	0.000333333	0.000866667	0.002	0.001133333	0.0006	0.001533333	0.0012	0.0004	0.001533333	0.0008	0.007533333	0.000466667	0.000266667	0.0194	0.0114	0.030666667	0.0952	0.038333333	0.0226	0.012866667	0.036866667	0.075066667	0.086733333	0.008733333	0.0334	0.071733333	0.036066667	0.076733333	0.014066667
k__Bacteria	p__Synergistetes	c__Synergistia	0.0002	0	6.67E-05	0.000133333	6.67E-05	0.000133333	0.0002	0	0	0	0	0	0	0	6.67E-05	0	0.000466667	0.000266667	0.000333333	6.67E-05	0.000266667	0	0.0002	0	0	0.0002	0	0	0.000266667	0.000133333	6.67E-05	6.67E-05	0.0002	0.000466667	0	0.000466667	6.67E-05	0	0.000133333
k__Bacteria	p__TM7	c__TM7-3	6.67E-05	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Tenericutes	c__Mollicutes	0.0012	0	0.000133333	0.0002	0.001466667	0.001	0.000333333	0.0028	0.001466667	0.0002	0.002	0.0002	0.001266667	0.002266667	0.000133333	0.000266667	0.0006	0.001933333	0.001	0.001133333	0.001133333	0.000133333	6.67E-05	0.0002	0.0004	0.000133333	0.0018	0	0.001466667	0.0008	0.0002	0.0006	6.67E-05	6.67E-05	0.0004	0.001533333	0.000666667	6.67E-05	0.0026
