#OTU ID				10283.LS.12.28.2011	10283.LS.4.3.2012	10283.LS.8.7.2012	10283.LS.11.6.2012	10283.LS.1.26.2013	10283.LS.2.8.2013	10283.LS.2.25.2013	10283.LS.3.24.2013	10283.LS.4.7.2013	10283.LS.4.29.2013	10283.LS.7.14.2013	10283.LS.9.3.2013	10283.LS.9.24.2013	10283.LS.11.10.2013	10283.LS.12.14.2013	10283.LS.1.19.2014	10283.LS.2.17.2014	10283.LS.3.23.2014	10283.LS.5.4.2014	10283.LS.6.16.2014	10283.LS.7.27.2014	10283.LS.8.22.2014	10283.LS.8.25.2014	10283.LS.9.28.2014	10283.LS.11.16.2014	10283.LS.12.7.2014	10283.LS.12.17.2014	10283.LS.1.6.2015	10283.LS.1.14.2015	10283.LS.1.25.2015	10283.LS.2.8.2015	10283.LS.2.23.2015	10283.LS.3.8.2015	10283.LS.3.24.2015	10283.LS.4.4.2015	10283.LS.4.19.2015	10283.LS.5.3.2015	10283.LS.5.31.2015	10283.LS.6.14.2015
k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	0.119866667	0.0766	0.0098	0.044533333	0.0022	0.002066667	0.0024	0.0012	0.001066667	0.001533333	0.000466667	0.003066667	0.003466667	0.001133333	0.002533333	0.003333333	0.002333333	0.0014	0.005933333	0.001266667	0.002333333	0.002866667	0.005666667	0.001266667	0.0016	0.002533333	0.000933333	0.002266667	0.0032	0.0034	0.002	0.002666667	0.005933333	0.0064	0.004066667	0.002666667	0.002066667	0.0018	0.005333333
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	0.000666667	0.000666667	0.000533333	0.0008	0.0004	0.000866667	0.001066667	0.000133333	0.000133333	0.000333333	0.0002	0.000266667	0	0.0002	6.67E-05	0.0002	0.0002	6.67E-05	0.000533333	0	0.000333333	0.000266667	0.0008	0.0002	0.0002	6.67E-05	0.000133333	0.0002	0	0	0.0002	0	0.000466667	0.0004	0.0002	0.000666667	0.000133333	0.000133333	0.003333333
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	0.002933333	0.001466667	0.001866667	0.0006	0.000266667	0.000133333	0.000466667	0.0014	0.0004	0.001333333	0.001933333	0.0058	0.0092	0.0038	0.013466667	0.001866667	0	0.000133333	0.000666667	0.000133333	0	0.000666667	0.000533333	6.67E-05	0.0004	0.000133333	0.0004	0.0006	0.001466667	0.0004	0.0004	0.000133333	0.0022	0.0002	0.000266667	0.0002	0.0002	0.0002	0.001133333
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	0.013866667	0.011866667	0.0186	0.0078	0.002466667	0.0022	0.004466667	0.0008	0.0012	0.0028	0.0036	0.0028	0.005266667	0.0014	0.001933333	0.0042	0.0036	0.001666667	0.003466667	0.001266667	0.002066667	0.008333333	0.0146	0.002266667	0.0026	0.006066667	0.001266667	0.001866667	0.002333333	0.003066667	0.002733333	0.0044	0.006266667	0.004	0.007733333	0.002266667	0.009666667	0.001933333	0.0076
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	0.097133333	0.048933333	0.1652	0.165933333	0.450133333	0.407533333	0.356466667	0.336733333	0.393733333	0.322333333	0.3682	0.229066667	0.217933333	0.361866667	0.4014	0.419733333	0.453266667	0.371333333	0.360866667	0.4516	0.370533333	0.190133333	0.352133333	0.3264	0.3224	0.258733333	0.410333333	0.447866667	0.314333333	0.2452	0.261266667	0.1962	0.2892	0.2586	0.145866667	0.231133333	0.189133333	0.237266667	0.243866667
k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0.0004	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0
k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Chlorobi	c__Ignavibacteria	o__Ignavibacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	6.67E-05	0	0.0002	0.000266667	0.0012	0.000466667	0	0.000933333	0.000733333	6.67E-05	6.67E-05	0	6.67E-05	6.67E-05	0	0	0	6.67E-05	0	0.004266667	0.008533333	0.002866667	0.000266667	0.0072	0.001933333	0.006733333	0.0038	0.0004	0.0026	0.002466667	0.000866667	0.001533333	0.000133333	0.0008	0.001	0.000866667	0.001066667	0.0002	0.0002
k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
