#OTU ID					10283.LS.12.28.2011	10283.LS.4.3.2012	10283.LS.8.7.2012	10283.LS.11.6.2012	10283.LS.1.26.2013	10283.LS.2.8.2013	10283.LS.2.25.2013	10283.LS.3.24.2013	10283.LS.4.7.2013	10283.LS.4.29.2013	10283.LS.7.14.2013	10283.LS.9.3.2013	10283.LS.9.24.2013	10283.LS.11.10.2013	10283.LS.12.14.2013	10283.LS.1.19.2014	10283.LS.2.17.2014	10283.LS.3.23.2014	10283.LS.5.4.2014	10283.LS.6.16.2014	10283.LS.7.27.2014	10283.LS.8.22.2014	10283.LS.8.25.2014	10283.LS.9.28.2014	10283.LS.11.16.2014	10283.LS.12.7.2014	10283.LS.12.17.2014	10283.LS.1.6.2015	10283.LS.1.14.2015	10283.LS.1.25.2015	10283.LS.2.8.2015	10283.LS.2.23.2015	10283.LS.3.8.2015	10283.LS.3.24.2015	10283.LS.4.4.2015	10283.LS.4.19.2015	10283.LS.5.3.2015	10283.LS.5.31.2015	10283.LS.6.14.2015
k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	0.119866667	0.0766	0.0098	0.044533333	0.0022	0.002066667	0.0024	0.0012	0.001066667	0.001533333	0.000466667	0.003066667	0.003466667	0.001133333	0.002533333	0.003333333	0.002333333	0.0014	0.005933333	0.001266667	0.002333333	0.002866667	0.005666667	0.001266667	0.0016	0.002533333	0.000933333	0.002266667	0.0032	0.0034	0.002	0.002666667	0.005933333	0.0064	0.004066667	0.002666667	0.002066667	0.0018	0.005333333
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	0.000533333	0.000466667	0.000466667	0.0006	0.0002	0.000133333	0.001066667	6.67E-05	0.000133333	0.000266667	0.0002	0.000266667	0	0.000133333	6.67E-05	0.000133333	0.0002	0	0.0004	0	0.000333333	0.000133333	0.000266667	0.000133333	0.000133333	0	0.000133333	0.0002	0	0	0.000133333	0	0.000333333	0.000333333	6.67E-05	0.000666667	6.67E-05	6.67E-05	0.003266667
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinosynnemataceae	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	6.67E-05	0	0	0	0	0.000666667	0	0	0	0	0	0	0	6.67E-05	0	6.67E-05	0	0	6.67E-05	0	0	6.67E-05	0.000466667	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Geodermatophilaceae	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	6.67E-05	0.0002	6.67E-05	0.0002	6.67E-05	0	0	6.67E-05	0	6.67E-05	0	0	0	0	0	0	0	6.67E-05	6.67E-05	0	0	6.67E-05	0	6.67E-05	0	6.67E-05	0	0	0	0	0	0	0.000133333	6.67E-05	0.000133333	0	6.67E-05	0	6.67E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	0.002933333	0.001466667	0.001866667	0.0006	0.000266667	0.000133333	0.000466667	0.0014	0.0004	0.001333333	0.001933333	0.0058	0.0092	0.0038	0.013466667	0.001866667	0	0.000133333	0.000666667	0.000133333	0	0.000666667	0.000533333	6.67E-05	0.0004	0.000133333	0.0004	0.0006	0.001466667	0.0004	0.0004	0.000133333	0.0022	0.0002	0.000266667	0.0002	0.0002	0.0002	0.001133333
