#OTU ID						10283.LS.12.28.2011	10283.LS.4.3.2012	10283.LS.8.7.2012	10283.LS.11.6.2012	10283.LS.1.26.2013	10283.LS.2.8.2013	10283.LS.2.25.2013	10283.LS.3.24.2013	10283.LS.4.7.2013	10283.LS.4.29.2013	10283.LS.7.14.2013	10283.LS.9.3.2013	10283.LS.9.24.2013	10283.LS.11.10.2013	10283.LS.12.14.2013	10283.LS.1.19.2014	10283.LS.2.17.2014	10283.LS.3.23.2014	10283.LS.5.4.2014	10283.LS.6.16.2014	10283.LS.7.27.2014	10283.LS.8.22.2014	10283.LS.8.25.2014	10283.LS.9.28.2014	10283.LS.11.16.2014	10283.LS.12.7.2014	10283.LS.12.17.2014	10283.LS.1.6.2015	10283.LS.1.14.2015	10283.LS.1.25.2015	10283.LS.2.8.2015	10283.LS.2.23.2015	10283.LS.3.8.2015	10283.LS.3.24.2015	10283.LS.4.4.2015	10283.LS.4.19.2015	10283.LS.5.3.2015	10283.LS.5.31.2015	10283.LS.6.14.2015
k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter	0.117733333	0.064533333	0.007933333	0.039933333	0.001333333	0.0012	0.001466667	0.000666667	0.000533333	0.000933333	0.0002	0.002333333	0.002	0.000466667	0.0014	0.001466667	0.0012	0.000933333	0.0038	0.000666667	0.001666667	0.0018	0.004666667	0.000666667	0.000933333	0.001666667	0.000266667	0.000866667	0.001866667	0.002333333	0.001266667	0.0012	0.003933333	0.003733333	0.003266667	0.001133333	0.001733333	0.001466667	0.004133333
k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanosphaera	0.002133333	0.012066667	0.001866667	0.0046	0.000866667	0.000866667	0.000933333	0.000533333	0.000533333	0.0006	0.000266667	0.000733333	0.001466667	0.000666667	0.001133333	0.001866667	0.001133333	0.000466667	0.002133333	0.0006	0.000666667	0.001066667	0.001	0.0006	0.000666667	0.000866667	0.000666667	0.0014	0.001333333	0.001066667	0.000733333	0.001466667	0.002	0.002666667	0.0008	0.001533333	0.000333333	0.000333333	0.0012
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	6.67E-05	0.000466667	0.000333333	0.0006	0.000133333	0	0	0	6.67E-05	0.000133333	0.000133333	0.0002	0	6.67E-05	6.67E-05	0.000133333	0	0	6.67E-05	0	0.0002	0.000133333	0.000266667	0.000133333	6.67E-05	0	6.67E-05	0	0	0	0.000133333	0	0.000133333	6.67E-05	6.67E-05	0.000133333	0	0	6.67E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Varibaculum	0.0004	0	0.000133333	0	6.67E-05	0.000133333	0.001066667	6.67E-05	6.67E-05	0.000133333	6.67E-05	6.67E-05	0	0	0	0	0.0002	0	0.000333333	0	0.000133333	0	0	0	6.67E-05	0	6.67E-05	0.0002	0	0	0	0	0.0002	0.000266667	0	0.000533333	6.67E-05	6.67E-05	0.0032
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinosynnemataceae	g__	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium	6.67E-05	0	0	0	0	0.000666667	0	0	0	0	0	0	0	6.67E-05	0	6.67E-05	0	0	6.67E-05	0	0	6.67E-05	0.000466667	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Geodermatophilaceae	g__Blastococcus	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
