sample.id,sample.date,day,p__Euryarchaeota,p__Actinobacteria,p__Bacteroidetes,p__Chlorobi,p__Cyanobacteria,p__Firmicutes,p__Fusobacteria,p__Lentisphaerae,p__Proteobacteria,p__Synergistetes,p__TM7,p__Tenericutes,p__Verrucomicrobia
X10283.LS.12.28.2011,2011-12-28,0,0.119866667,0.017466667,0.097133333,0,0.000133333,0.5828,0.010266667,0,0.0152,2e-04,6.67e-05,0.001466667,0.1554
X10283.LS.4.3.2012,2012-04-03,1,0.0766,0.014,0.048933333,0,4e-04,0.844933333,8e-04,0,0.001866667,0,0.000133333,0,0.012333333
X10283.LS.8.7.2012,2012-08-07,2,0.0098,0.021,0.1652,0,2e-04,0.757533333,6.67e-05,0,0.008733333,6.67e-05,0,0.000133333,0.037266667
X10283.LS.11.6.2012,2012-11-06,3,0.044533333,0.0092,0.165933333,0,0.000333333,0.7014,6.67e-05,0,0.009,0.000133333,0,4e-04,0.069
X10283.LS.1.26.2013,2013-01-26,4,0.0022,0.003133333,0.4502,0,0.0012,0.4728,6.67e-05,6.67e-05,0.042866667,6.67e-05,0,0.002133333,0.025266667
X10283.LS.2.8.2013,2013-02-08,5,0.002066667,0.0032,0.407533333,0,0.000466667,0.540066667,0.0034,6.67e-05,0.017866667,0.000133333,0,0.002266667,0.022933333
X10283.LS.2.25.2013,2013-02-25,6,0.0024,0.006,0.356466667,0,0,0.538466667,0.011466667,0,0.027466667,2e-04,0,0.003466667,0.054066667
X10283.LS.3.24.2013,2013-03-24,7,0.0012,0.002333333,0.336733333,0,0.000933333,0.461066667,8e-04,0,0.189666667,0,0,0.002933333,0.004333333
X10283.LS.4.7.2013,2013-04-07,8,0.001066667,0.001733333,0.393733333,0,0.000866667,0.460733333,0.013933333,0,0.121866667,0,0,0.001466667,0.0046
X10283.LS.4.29.2013,2013-04-29,9,0.001533333,0.004466667,0.322333333,0,6.67e-05,0.5356,0.000866667,0,0.1304,0,0,0.000333333,0.0044
X10283.LS.7.14.2013,2013-07-14,10,0.000466667,0.005733333,0.3682,0,6.67e-05,0.6062,4e-04,6.67e-05,0.014333333,0,0,0.002,0.002533333
X10283.LS.9.3.2013,2013-09-03,11,0.003066667,0.008866667,0.229066667,0,6.67e-05,0.709466667,0.000333333,0.000133333,0.048,0,0,2e-04,8e-04
X10283.LS.9.24.2013,2013-09-24,12,0.003466667,0.014466667,0.217933333,0,6.67e-05,0.7366,0.000266667,0.000133333,0.025533333,0,0,0.001266667,0.000266667
X10283.LS.11.10.2013,2013-11-10,13,0.001133333,0.0054,0.361866667,0,6e-04,0.593733333,2e-04,0.000133333,0.034,0,0,0.002266667,0.000666667
X10283.LS.12.14.2013,2013-12-14,14,0.002533333,0.015466667,0.4014,0,0,0.522733333,0.000333333,0.000333333,0.049466667,6.67e-05,0,0.000133333,0.007533333
X10283.LS.1.19.2014,2014-01-19,15,0.003333333,0.006266667,0.419733333,0,0,0.3834,0.0038,0.000666667,0.0538,0,0,0.000266667,0.128733333
X10283.LS.2.17.2014,2014-02-17,16,0.002333333,0.0038,0.453333333,0,0,0.4406,0.008733333,2e-04,0.0392,0.000466667,0,6e-04,0.050733333
X10283.LS.3.23.2014,2014-03-23,17,0.0014,0.001866667,0.371333333,0,6.67e-05,0.5292,0.000133333,0.000266667,0.050933333,0.000266667,0,0.001933333,0.0426
X10283.LS.5.4.2014,2014-05-04,18,0.005933333,0.004666667,0.360866667,0.000333333,6.67e-05,0.5494,0.002866667,0,0.030866667,0.000333333,0,0.001,0.043666667
X10283.LS.6.16.2014,2014-06-16,19,0.001266667,0.0014,0.4516,0,0.004266667,0.4556,2e-04,6.67e-05,0.0304,6.67e-05,0,0.001133333,0.054
X10283.LS.7.27.2014,2014-07-27,20,0.002333333,0.0024,0.370533333,0,0.008533333,0.4964,0.001466667,0,0.033466667,0.000266667,0,0.001133333,0.083466667
X10283.LS.8.22.2014,2014-08-22,21,0.002866667,0.009266667,0.190133333,0,0.002866667,0.7506,6.67e-05,0.000133333,0.033266667,0,0,0.000133333,0.010666667
X10283.LS.8.25.2014,2014-08-25,22,0.005666667,0.015933333,0.352533333,0,0.000266667,0.523,0.000533333,6.67e-05,0.011733333,2e-04,0,6.67e-05,0.09
X10283.LS.9.28.2014,2014-09-28,23,0.001266667,0.002533333,0.3264,0,0.0072,0.616466667,0.000133333,6.67e-05,0.041866667,0,0,2e-04,0.003866667
