sample.id,sample.date,day,c__Methanobacteria,c__Actinobacteria,c__Coriobacteriia,c__Bacteroidia,c__Flavobacteriia,c__[Saprospirae],c__Ignavibacteria,c__4C0d-2,c__Chloroplast,c__Bacilli,c__Clostridia,c__Erysipelotrichi,c__Fusobacteriia,c__[Lentisphaeria],c__Alphaproteobacteria,c__Betaproteobacteria,c__Deltaproteobacteria,c__Epsilonproteobacteria,c__Gammaproteobacteria,c__Synergistia,c__TM7-3,c__Mollicutes,c__RF3,c__Verrucomicrobiae
X10283.LS.12.28.2011,2011-12-28,0,0.119866667,0.0036,0.013866667,0.097133333,0,0,0,6.67e-05,6.67e-05,0.009,0.556466667,0.017333333,0.010266667,0,0.002266667,0.0034,0.007133333,0,0.0024,2e-04,6.67e-05,0.0012,0.000266667,0.1554
X10283.LS.4.3.2012,2012-04-03,1,0.0766,0.002133333,0.011866667,0.048933333,0,0,0,0,4e-04,0.014666667,0.7982,0.032066667,8e-04,0,0,2e-04,0.000933333,0,0.000733333,0,0.000133333,0,0,0.012333333
X10283.LS.8.7.2012,2012-08-07,2,0.0098,0.0024,0.0186,0.1652,0,0,0,2e-04,0,0.0052,0.724466667,0.027866667,6.67e-05,0,6.67e-05,0.001466667,0.007066667,0,0.000133333,6.67e-05,0,0.000133333,0,0.037266667
X10283.LS.11.6.2012,2012-11-06,3,0.044533333,0.0014,0.0078,0.165933333,0,0,0,0.000266667,6.67e-05,0.0056,0.686066667,0.009733333,6.67e-05,0,0.000266667,0.0028,0.005333333,0,6e-04,0.000133333,0,2e-04,2e-04,0.069
X10283.LS.1.26.2013,2013-01-26,4,0.0022,0.000666667,0.002466667,0.450133333,0,6.67e-05,0,0.0012,0,0.001933333,0.453133333,0.017733333,6.67e-05,6.67e-05,0.005266667,0.0036,0.005133333,0,0.028866667,6.67e-05,0,0.001466667,0.000666667,0.025266667
X10283.LS.2.8.2013,2013-02-08,5,0.002066667,0.001,0.0022,0.407533333,0,0,0,0.000466667,0,0.002733333,0.523866667,0.013466667,0.0034,6.67e-05,0.001133333,0.006,0.009,2e-04,0.001533333,0.000133333,0,0.001,0.001266667,0.022933333
X10283.LS.2.25.2013,2013-02-25,6,0.0024,0.001533333,0.004466667,0.356466667,0,0,0,0,0,0.003266667,0.527533333,0.007666667,0.011466667,0,0.001466667,0.005466667,0.0164,2e-04,0.003933333,2e-04,0,0.000333333,0.003133333,0.054066667
X10283.LS.3.24.2013,2013-03-24,7,0.0012,0.001533333,8e-04,0.336733333,0,0,0,0.000933333,0,0.000866667,0.459,0.0012,8e-04,0,0.001733333,0.0062,0.003733333,6.67e-05,0.177933333,0,0,0.0028,0.000133333,0.004333333
X10283.LS.4.7.2013,2013-04-07,8,0.001066667,0.000533333,0.0012,0.393733333,0,0,0,0.000733333,0.000133333,0.0028,0.4534,0.004533333,0.013933333,0,0.0044,0.012066667,0.006066667,0,0.099333333,0,0,0.001466667,0,0.0046
X10283.LS.4.29.2013,2013-04-29,9,0.001533333,0.001666667,0.0028,0.322333333,0,0,0,6.67e-05,0,0.002,0.526266667,0.007333333,0.000866667,0,0.000333333,0.006666667,0.0064,0,0.117,0,0,2e-04,0.000133333,0.0044
