sample.id,sample.date,day,g__Methanobrevibacter,g__Methanosphaera,g__,g__,g__Actinomyces,g__Varibaculum,g__,g__Corynebacterium,g__Blastococcus,g__,g__Rothia,g__Rhodococcus,g__Propionibacterium,g__,g__Alloscardovia,g__Bifidobacterium,g__,g__Adlercreutzia,g__Atopobium,g__Collinsella,g__Eggerthella,g__Slackia,g__,g__5-7N15,g__Bacteroides,g__Parabacteroides,g__Porphyromonas,g__Prevotella,g__,g__Alistipes,g__,g__,g__Butyricimonas,g__Odoribacter,g__Paraprevotella,g__YRC22,g__[Prevotella],g__,g__Cloacibacterium,g__,g__,g__,g__,g__,g__Bacillus,g__Paenibacillus,g__,g__Lysinibacillus,g__Rummeliibacillus,g__Sporosarcina,g__Staphylococcus,g__,g__Granulicatella,g__Enterococcus,g__Vagococcus,g__,g__Lactobacillus,g__Pediococcus,g__,g__Leuconostoc,g__Lactococcus,g__Streptococcus,g__Turicibacter,g__,g__,g__Christensenella,g__,g__02d06,g__Clostridium,g__SMB53,g__Sarcina,g__Dehalobacterium,g__,g__Pseudoramibacter_Eubacterium,g__,g__Anaerostipes,g__Blautia,g__Coprococcus,g__Dorea,g__Lachnobacterium,g__Lachnospira,g__Moryella,g__Oribacterium,g__Roseburia,g__Ruminococcus,g__[Ruminococcus],g__,g__Peptococcus,g__rc4-4,g__,g__,g__Anaerotruncus,g__Clostridium,g__Faecalibacterium,g__Oscillospira,g__Ruminococcus,g__,g__Anaerovibrio,g__Dialister,g__Megamonas,g__Megasphaera,g__Phascolarctobacterium,g__Veillonella,g__,g__Mogibacterium,g__Anaerococcus,g__Finegoldia,g__Parvimonas,g__Peptoniphilus,g__WAL_1855D,g__ph2,g__,g__,g__Bulleidia,g__Catenibacterium,g__Clostridium,g__Coprobacillus,g__Holdemania,g__RFN20,g__[Eubacterium],g__cc_115,g__Fusobacterium,g__Leptotrichia,g__,g__Victivallis,g__,g__Bosea,g__Phyllobacterium,g__Carludovica,g__Raphanus,g__,g__,g__,g__Sutterella,g__,g__Alicycliphilus,g__Comamonas,g__Limnohabitans,g__,g__Cupriavidus,g__Herminiimonas,g__Oxalobacter,g__Ralstonia,g__,g__Conchiformibius,g__Neisseria,g__,g__Dechloromonas,g__,g__Bilophila,g__Desulfovibrio,g__,g__Campylobacter,g__,g__Succinivibrio,g__Cardiobacterium,g__,g__Aquamonas,g__Enterobacter,g__Erwinia,g__Escherichia,g__Klebsiella,g__Leminorella,g__Morganella,g__Plesiomonas,g__Proteus,g__Providencia,g__Raoultella,g__Salmonella,g__Serratia,g__Legionella,g__,g__Aggregatibacter,g__Haemophilus,g__,g__Acinetobacter,g__Psychrobacter,g__Pseudomonas,g__,g__Pseudoxanthomonas,g__Stenotrophomonas,g__Pyramidobacter,g__Synergistes,g__,g__,g__,g__Akkermansia
X10283.LS.12.28.2011,2011-12-28,0,0.117733333,0.002133333,0,6.67e-05,6.67e-05,4e-04,0,6.67e-05,0,0,6.67e-05,0,0,0,0,0.002933333,0.011466667,2e-04,0.000133333,0.002066667,0,0,0.000466667,0,0.057533333,0.004933333,0.000733333,0.000266667,0.028666667,6.67e-05,0,0.0016,8e-04,6e-04,0,0.001466667,0,0,0,0,0,6.67e-05,6.67e-05,0,0,0,0,0,0,0,0,4e-04,0,0,0,6.67e-05,0.000133333,0,0,0,0,0.0084,0,0.115533333,0.0194,0,0.000933333,0,0.000466667,0,0,0.000666667,0,0,0.047866667,0.001533333,0.030533333,0.036,0.005466667,0.000866667,0.003333333,0,0,0.003733333,0,0.017066667,0.000133333,2e-04,0,6.67e-05,0.176533333,0.000266667,6.67e-05,0.014466667,0.004133333,0.037733333,0,0,0.023266667,0,0,0.0032,6.67e-05,0.004666667,0,2e-04,0,0.007866667,6.67e-05,0,0,0.000133333,0.014933333,0.001133333,0,0,6.67e-05,2e-04,0,0.000466667,0.000533333,0.010266667,0,0,0,0.002266667,0,0,0,0,0,0,0,0.000666667,0,0,0.000933333,0,6.67e-05,0,0,0.001533333,0,0,2e-04,0,0,0,0.000266667,0,0.006866667,0,0,0,0,0,0.002333333,0,0,0,6.67e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,6.67e-05,0.0012,0.000266667,0.1554
X10283.LS.4.3.2012,2012-04-03,1,0.064533333,0.012066667,0,0,0.000466667,0,0,0,0,0,2e-04,0,0,0,0,0.001466667,0.008933333,0.000266667,0.000133333,0.002533333,0,0,0,0,0.033,0.005533333,0,6.67e-05,0.008066667,0,6e-04,0.001066667,0.000466667,0.000133333,0,0,0,0,0,0,0,0,0,4e-04,0,0,0,0,0,0,0,0.000133333,0,0,0,6.67e-05,0.000133333,0.000133333,0,0,6.67e-05,0.014066667,6.67e-05,0.027466667,0.000666667,6.67e-05,0.000733333,0.000266667,0.008666667,0,0,0.001,0,0.000133333,0.121733333,0.001466667,0.088266667,0.0472,0.006666667,0.014733333,0.024933333,0,0,0.0166,6.67e-05,0.010733333,6.67e-05,0,0,0,0.162,2e-04,6.67e-05,0.076133333,0.003666667,0.0748,0,0,0.106266667,0,0,0.001533333,0.001333333,4e-04,6.67e-05,0,0,0.000266667,0,0,0,0,0.031333333,0,0,6.67e-05,0.000133333,0,2e-04,0.000333333,0,8e-04,0,0,0,0,0,0,0,0,0,0,0,0.000133333,0,0,0,0,6.67e-05,0,0,0,0,0,0,0,0,0,0,0,0.000933333,0,0,0,0,0,4e-04,0,0,0,0,0,0,0.000133333,0,0,0,0,0,0,0,0,6.67e-05,0.000133333,0,0,0,0,0,0,0,0,0,0.000133333,0,0,0.012333333
X10283.LS.8.7.2012,2012-08-07,2,0.007933333,0.001866667,0,0,0.000333333,0.000133333,0,0,0,0,6.67e-05,0,0,0,0,0.001866667,0.0124,0.000533333,0,0.005533333,0.000133333,0,0,0,0.127533333,0.0154,0,0.000133333,0.019133333,0,0.000533333,0.002133333,0.000266667,6.67e-05,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,0,6.67e-05,0,6.67e-05,0.000133333,6.67e-05,0,0,4e-04,0,0,6.67e-05,0,0.004333333,6.67e-05,0.0424,0.000666667,0,0.000666667,6.67e-05,0.0108,0,0,2e-04,0,6.67e-05,0.115733333,0.001133333,0.102533333,0.094066667,0.007733333,0.004066667,0.0082,0,0,0.020066667,6.67e-05,0.0096,0.000133333,0,6.67e-05,0.000933333,0.185733333,0.000133333,0,0.068533333,0.0038,0.037666667,0,0,0.005333333,6.67e-05,0,0.003133333,0.000133333,0.000533333,6.67e-05,0,6.67e-05,6.67e-05,0,0,0,0,0.027,0,0,0,0.000466667,2e-04,0,0.000133333,6.67e-05,6.67e-05,0,0,0,6.67e-05,0,0,0,0,0,0,0,0.0014,0,0,0,0,6.67e-05,0,0,0,0,0,0,0,0,0,0,0,0.007066667,0,0,0,0,0,6.67e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67e-05,0,0,0,0,0,0,6.67e-05,0,0.000133333,0,0.037266667
X10283.LS.11.6.2012,2012-11-06,3,0.039933333,0.0046,0,0,6e-04,0,0,0,0,0,2e-04,0,0,0,0,6e-04,0.005666667,0.000466667,0,0.001666667,0,0,0,0,0.098066667,0.021266667,0,0.000333333,0.041733333,0.000266667,0.000333333,0.002466667,0.001,0.000466667,0,0,0,0,0,0,0,0.000266667,0,6.67e-05,0,0,0,0,0,0,0,6.67e-05,0,0.000133333,0,0,0,0,0,0,0,0.0054,0,0.047333333,0.0042,0.000133333,0.001666667,0,0.0546,0,0,8e-04,0,6.67e-05,0.063066667,0.001266667,0.0552,0.060333333,0.004466667,0.007666667,0.0118,0,0,0.014933333,0,0.005066667,2e-04,0,0,6e-04,0.234266667,0.000133333,6.67e-05,0.0778,0.005466667,0.030733333,0,0,0.000533333,6.67e-05,0,0.002733333,0.000666667,0.000133333,0,0,0,6.67e-05,0,0,0,0,0.009333333,0,0,0,6.67e-05,2e-04,0,0.000133333,0,6.67e-05,0,0,0,2e-04,0,0,6.67e-05,0,0,0,0,0.001,0.000133333,0,0,6.67e-05,0.0016,0,0,0,0,0,0,0,0,0,0,0.000466667,0.004866667,0,0,0,0,0,0.000466667,0,0,0,0,0,0,6.67e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67e-05,0,0,0,0,0.000133333,0,2e-04,2e-04,0.069
X10283.LS.1.26.2013,2013-01-26,4,0.001333333,0.000866667,0,0,0.000133333,6.67e-05,0,0,0.000133333,0,6.67e-05,0,0,0,0,0.000266667,0.0016,0.000133333,0,0.000733333,0,0,0,0,0.308,0.0612,0,4e-04,0.068666667,2e-04,0.000733333,0.0048,0.0046,0.001466667,0,0,6.67e-05,0,0,6.67e-05,0,0.0012,0,0,0,0,0,0,6.67e-05,0,0,6.67e-05,0,6.67e-05,0,0,0,0,0,0,0,0.001733333,0,0.031533333,0.0052,0,0.001333333,0,0.009866667,0,0,0.000266667,0.000133333,6.67e-05,0.050533333,0.003266667,0.025,0.0216,0.003,0.002466667,0.010333333,0,0,0.010666667,0,0.004133333,0.000866667,0,2e-04,2e-04,0.1384,0.000733333,6.67e-05,0.077466667,0.013533333,0.032533333,6.67e-05,0,0.000266667,0,0,0.0086,6e-04,2e-04,0,0,0,0,0,0,0,0,0.0172,0,0,0,0,4e-04,6.67e-05,6.67e-05,0,0,6.67e-05,0,6.67e-05,0.005266667,0,0,0,0,0,0,0,0.0028,2e-04,0.000133333,0,0.000133333,0.000333333,0,0,0,0,0,0,0,0,0,0,0.0014,0.003733333,0,0,0,6.67e-05,0,0.010866667,0,0,0,0,0,0,6.67e-05,0,0,0,0,0,0.0176,0,0,0,2e-04,0,6.67e-05,0,0,0,0,0,0,6.67e-05,0,0.001466667,0.000666667,0.025266667
X10283.LS.2.8.2013,2013-02-08,5,0.0012,0.000866667,0,0,0,0.000133333,6.67e-05,0.000666667,0,0,0,0,0,0,0,0.000133333,0.0018,2e-04,0,2e-04,0,0,6.67e-05,0,0.289266667,0.039866667,6.67e-05,6.67e-05,0.0588,0.000333333,4e-04,0.009066667,0.007,0.0026,0,0,0,0,0,0,0,0.000466667,0,0,6.67e-05,0,0,0,0,0,6e-04,0.000666667,0,6.67e-05,0,0,0,0,0,0,0,0.001333333,0,0.032666667,0.0046,0.000133333,0.001466667,6.67e-05,0.014533333,0,0,6.67e-05,6.67e-05,0,0.047133333,0.000333333,0.025933333,0.0324,0.003333333,0.0042,0.034133333,0,0,0.009266667,0,0.0016,4e-04,0,0,6.67e-05,0.144933333,6.67e-05,0,0.114133333,0.010733333,0.033733333,0,0,6.67e-05,0,0,0.0042,0.000266667,6e-04,0,0,0,0.002666667,0,0,0,6.67e-05,0.013,0,0,0,6.67e-05,0.000333333,0,6.67e-05,0,0.0034,0,0,6.67e-05,0.001133333,0,0,0,0,0,0,0,0.004533333,0.000466667,0,0,6.67e-05,0.000466667,0,0,0,0,0,0.000466667,0,0,0,0,0.002133333,0.006866667,0,2e-04,0,0,0,0.000533333,0,0,0,0,6.67e-05,0,0.000333333,0,0,0,0,0,0,0,0,4e-04,6.67e-05,0,6.67e-05,0,0,0,0,6.67e-05,0,0.000133333,0,0.001,0.001266667,0.022933333
X10283.LS.2.25.2013,2013-02-25,6,0.001466667,0.000933333,0,0,0,0.001066667,0,0,0,0,0,0,0,0,0,0.000466667,0.0024,0.000133333,6.67e-05,0.001866667,0,0,0,0,0.206533333,0.0388,0,0.034666667,0.063066667,6.67e-05,0.000133333,0.0068,0.005266667,0.001133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001133333,0,0,0,6.67e-05,0,0,0,0,0,0.002066667,0,0.028866667,0.01,0,0.0032,6.67e-05,0.018533333,6.67e-05,0,0,0,0,0.039066667,0.000666667,0.021133333,0.020866667,0.013466667,0.003266667,0.010466667,0,6.67e-05,0.009333333,0,0.004266667,0.000333333,0,0,4e-04,0.2118,0.000333333,0,0.101466667,0.005066667,0.0134,0,0,4e-04,0,0,0.002666667,0,0.002933333,0,6.67e-05,0,0.005266667,0,0,0,6.67e-05,0.006733333,0,0,0,0.000333333,0.000266667,6.67e-05,0.000266667,0,0.011466667,0,0,0,0.001466667,0,0,0,0,0,0,0,0.0046,0,0,0,0,2e-04,6.67e-05,0,0,0,0,6e-04,0,0,0,0,0.009333333,0.007066667,0,2e-04,0,0,0,0,0,0,0,0,0,0,0.000666667,0,0,0,0,0,6.67e-05,0,0,0.003066667,6.67e-05,0,0,0,0,0,0,6.67e-05,0,2e-04,0,0.000333333,0.003133333,0.054066667
X10283.LS.3.24.2013,2013-03-24,7,0.000666667,0.000533333,0,0,0,6.67e-05,0,0,0,0,6.67e-05,0,0,6.67e-05,0,0.001333333,0.000466667,0,0,0.000333333,0,0,0,0,0.239666667,0.032466667,0,0.038333333,0.019666667,6.67e-05,6.67e-05,0.0012,0.004066667,0.0012,0,0,0,0,0,0,0,0.000933333,0,0,0,0,0,0,0,0,0,0.000133333,0,0,0,0,0,0,0,6.67e-05,0,0.000666667,0,0.043933333,6e-04,6.67e-05,0.0024,2e-04,0.009333333,0,6.67e-05,6.67e-05,0,6.67e-05,0.072533333,0.000666667,0.0126,0.0098,0.003666667,0.009666667,0.033933333,0,0,0.023333333,0,0.0014,0.001,0,2e-04,0,0.077066667,6.67e-05,0,0.103733333,0.007533333,0.041066667,0,0,2e-04,0,0,0.002866667,6.67e-05,0.000266667,0,6.67e-05,0,0.000466667,0,0,0,6.67e-05,0.001,0,0,0,0,2e-04,0,0,0,8e-04,0,0,0,0.001733333,0,0,0,0,0,0,0,0.005933333,0,0,0,0,0.000133333,0,0,0,0,0,0.000133333,0,0,0,0,8e-04,0.002933333,0,6.67e-05,0,0,0,0.139466667,0,0,0.000533333,6.67e-05,0,0,0.000266667,0.000466667,6.67e-05,0,6.67e-05,0,0.0366,0,0,6.67e-05,0.000333333,0,0,0,0,0,0,0,0,0,0,0.0028,0.000133333,0.004333333
X10283.LS.4.7.2013,2013-04-07,8,0.000533333,0.000533333,0,0,6.67e-05,6.67e-05,0,0,0,0,0,0,0,0,0,4e-04,0.000666667,0,0,0.000533333,0,0,0,0,0.229133333,0.034533333,0,0.095666667,0.0284,0,6.67e-05,0.001933333,0.003333333,0.000666667,0,0,0,0,0,0,0,0.000733333,0,0.000133333,0,0,0,0,6.67e-05,0,0,0.0014,0,0,0,6.67e-05,0,0,0,0,0,0.001266667,0,0.0304,0.000666667,0,0.002466667,0,0.023666667,0,0,0.000133333,6.67e-05,0,0.0582,4e-04,0.015,0.014666667,0.004733333,0,0.027933333,0,0,0.0262,0,0.001933333,4e-04,0,6.67e-05,0,0.0786,6.67e-05,0,0.111266667,0.0092,0.0366,0,0,0.002533333,6.67e-05,0,0.001333333,0.000266667,0.001133333,0,6.67e-05,0,0.005266667,0,0,6.67e-05,0,0.004333333,0,0,0,0,6.67e-05,0,0.000133333,0,0.013933333,0,0,0,0.004333333,0,0,0,6.67e-05,0,0,0,0.011266667,0,0,6.67e-05,0,0.000133333,0,0,0,0,6.67e-05,0.000466667,0,0,6.67e-05,0,0.001933333,0.004133333,0,0,0,0,0,0.066466667,0,0,6.67e-05,6.67e-05,0,0,0.000266667,6.67e-05,0,0,6.67e-05,0,0.020666667,0,0,0.011533333,0.000133333,0,0,0,0,0,0,0,0,0,0,0.001466667,0,0.0046
X10283.LS.4.29.2013,2013-04-29,9,0.000933333,6e-04,0,0,0.000133333,0.000133333,0,0,0,6.67e-05,0,0,0,0,6.67e-05,0.001266667,0.001266667,6.67e-05,0,0.001466667,0,0,6.67e-05,0,0.223533333,0.024066667,0,0.040266667,0.025866667,0,0,0.0028,0.004666667,0.001066667,0,0,0,0,0,0,0,6.67e-05,0,0,0,0,0,6.67e-05,0,0,0,0.000133333,0,0,0,0,6.67e-05,0,0,0,0,0.001733333,0,0.035333333,0.000866667,0,0.001466667,0,0.016466667,0,0,2e-04,0,0,0.0768,4e-04,0.0408,0.0178,0.004133333,0,0.024466667,0,0,0.028866667,0,0.0036,6e-04,0,0.000133333,6e-04,0.116266667,2e-04,0,0.116866667,0.006533333,0.027866667,0,0,0.000266667,0,0,0.004,8e-04,0.000266667,0,6.67e-05,0,6e-04,0,0,0,0,0.007066667,0,0,0,0,0.000266667,0,0,0,0.000866667,0,0,0,0.000333333,0,0,0,0,0,0,0,0.006466667,0,0,0,0,0.000133333,6.67e-05,0,0,0,0,0,0,0,0,0,0.000866667,0.005533333,0,0,0,0,0,0.0884,0,0,0.000266667,0,0,6.67e-05,6.67e-05,0.000266667,0,0,0,0,0.027266667,0,6.67e-05,4e-04,6.67e-05,6.67e-05,0,0,6.67e-05,0,0,0,0,0,0,2e-04,0.000133333,0.0044
